i,j,Median
3,112,21
3,113,25.6
3,114,6.1
3,115,11
4,0,11
4,1,20.6
4,2,20.6
4,3,2.1
4,4,0.1
4,5,19
4,6,0.1
4,7,24.6
4,8,19
4,9,2.1
4,10,25
4,11,19
4,12,13.1
4,13,25
4,14,23
4,15,0.1
4,16,14
4,17,2.1
4,18,20.6
4,19,0.1
4,20,8.2
4,21,0.1
4,22,25
4,23,25
4,24,2.1
4,25,19
4,26,15
4,27,0.1
4,28,0.1
4,29,25
4,30,19
4,31,19
4,32,2.1
4,33,19
4,34,19
4,35,19
4,36,25
4,37,19
4,38,2.1
4,39,19
4,40,2.1
4,41,19
4,42,19
4,43,23.4
4,44,19
4,45,2.1
4,46,2.1
4,47,19
4,48,2.1
4,49,19
4,50,2.1
4,51,2.1
4,52,21.6
4,53,25
4,54,2.1
4,55,25
4,56,2.1
4,57,25
4,58,0.1
4,59,0.1
4,60,19
4,61,20.6
4,62,2.1
4,63,8.2
4,64,25
4,65,25
4,66,13
4,67,24.6
4,68,23
4,69,19
4,70,19
4,71,19
4,72,21.6
4,73,0.1
4,74,19
4,75,0.1
4,76,20.6
4,77,0.1
4,78,15
4,79,19
4,80,2.1
4,81,25
4,82,25
4,83,0.1
4,84,14
4,85,20.6
4,86,19
4,87,2.1
4,88,23
4,89,19
4,90,25
4,91,25
4,92,2.1
4,93,19
4,94,25
4,95,19
4,96,25
4,97,19
4,98,25
4,99,23
4,100,25
4,101,25
4,102,25
4,103,25
4,104,38.2
4,105,23
4,106,24
4,107,19
4,108,19
4,109,0.1
4,110,19
4,111,19
4,112,19
4,113,25
4,114,2.1
4,115,11
5,0,17
5,1,2
5,2,2
5,3,21
5,4,19
5,5,3.9
5,6,19
5,7,11
5,8,3.9
5,9,21
5,10,5.1
5,11,3.9
5,12,6.5
5,13,5.1
5,14,5
5,15,19
5,16,7
5,17,21
5,18,2
5,19,19
5,20,18.4
5,21,19
5,22,5.1
5,23,5.1
5,24,21
5,25,3.9
5,26,16.1
5,27,19
5,28,19
5,29,5.1
5,30,3.9
5,31,3.9
5,32,21
5,33,3.9
5,34,3.9
5,35,3.9
5,36,5.1
5,37,3.9
5,38,21
5,39,3.9
5,40,21
5,41,3.9
5,42,3.9
5,43,13.7
5,44,3.9
5,45,21
5,46,21
5,47,3.9
5,48,21
5,49,3.9
5,50,21
5,51,21
5,52,23.4
5,53,5.1
5,54,21
5,55,5.1
5,56,21
5,57,5.1
5,58,19
5,59,19
5,60,3.9
5,61,2
5,62,21
5,63,18.4
5,64,5.1
5,65,5.1
5,66,31
5,67,11
5,68,16
5,69,3.9
5,70,3.9
5,71,3.9
5,72,23.4
5,73,19
5,74,3.9
5,75,19
5,76,2
5,77,19
5,78,16.1
5,79,3.9
5,80,21
5,81,5.1
5,82,5.1
5,83,19
5,84,7
5,85,2
5,86,3.9
5,87,21
5,88,16
5,89,3.9
5,90,5.1
5,91,5.1
5,92,21
5,93,3.9
5,94,5.1
5,95,3.9
5,96,5.1
5,97,3.9
5,98,5.1
5,99,5
5,100,5.1
5,101,5.1
5,102,5.1
5,103,5.1
5,104,42.5
5,105,16
5,106,17
5,107,3.9
5,108,3.9
5,109,19
5,110,3.9
5,111,3.9
5,112,3.9
5,113,5.1
5,114,21
5,115,17
6,0,11
6,1,20.6
6,2,20.6
6,3,2.1
6,4,0.1
6,5,19
6,6,0.1
6,7,24.6
6,8,19
6,9,2.1
6,10,25
6,11,19
6,12,13.1
6,13,25
6,14,23
6,15,0.1
6,16,14
6,17,2.1
6,18,20.6
6,19,0.1
6,20,8.2
6,21,0.1
6,22,25
6,23,25
6,24,2.1
6,25,19
6,26,15
6,27,0.1
6,28,0.1
6,29,25
6,30,19
6,31,19
6,32,2.1
6,33,19
6,34,19
6,35,19
6,36,25
6,37,19
6,38,2.1
6,39,19
6,40,2.1
6,41,19
6,42,19
6,43,23.4
6,44,19
6,45,2.1
6,46,2.1
6,47,19
6,48,2.1
6,49,19
6,50,2.1
6,51,2.1
6,52,21.6
6,53,25
6,54,2.1
6,55,25
6,56,2.1
6,57,25
6,58,0.1
6,59,0.1
6,60,19
6,61,20.6
6,62,2.1
6,63,8.2
6,64,25
6,65,25
6,66,13
6,67,24.6
6,68,23
6,69,19
6,70,19
6,71,19
6,72,21.6
6,73,0.1
6,74,19
6,75,0.1
6,76,20.6
6,77,0.1
6,78,15
6,79,19
6,80,2.1
6,81,25
6,82,25
6,83,0.1
6,84,14
6,85,20.6
6,86,19
6,87,2.1
6,88,23
6,89,19
6,90,25
6,91,25
6,92,2.1
6,93,19
6,94,25
6,95,19
6,96,25
6,97,19
6,98,25
6,99,23
6,100,25
6,101,25
6,102,25
6,103,25
6,104,38.2
6,105,23
6,106,24
6,107,19
6,108,19
6,109,0.1
6,110,19
6,111,19
6,112,19
6,113,25
6,114,2.1
6,115,11
7,0,18
7,1,10.2
7,2,10.2
7,3,22.6
7,4,24.6
7,5,11
7,6,24.6
7,7,3
7,8,11
7,9,22.6
7,10,16
7,11,11
7,12,12.6
7,13,16
7,14,20
7,15,24.6
7,16,11
7,17,22.6
7,18,10.2
7,19,24.6
7,20,21
7,21,24.6
7,22,16
7,23,16
7,24,22.6
7,25,11
7,26,18
7,27,24.6
7,28,24.6
7,29,16
7,30,11
7,31,11
7,32,22.6
7,33,11
7,34,11
7,35,11
7,36,16
7,37,11
7,38,22.6
7,39,11
7,40,22.6
7,41,11
7,42,11
7,43,14.9
7,44,11
7,45,22.6
7,46,22.6
7,47,11
7,48,22.6
7,49,11
7,50,22.6
7,51,22.6
7,52,19
7,53,16
7,54,22.6
7,55,16
7,56,22.6
7,57,16
7,58,24.6
7,59,24.6
7,60,11
7,61,10.2
7,62,22.6
7,63,21
7,64,16
7,65,16
7,66,20.6
7,67,3
7,68,16.8
7,69,11
7,70,11
7,71,11
7,72,19
7,73,24.6
7,74,11
7,75,24.6
7,76,10.2
7,77,24.6
7,78,18
7,79,11
7,80,22.6
7,81,16
7,82,16
7,83,24.6
7,84,11
7,85,10.2
7,86,11
7,87,22.6
7,88,16.8
7,89,11
7,90,16
7,91,16
7,92,22.6
7,93,11
7,94,16
7,95,11
7,96,16
7,97,11
7,98,16
7,99,20
7,100,16
7,101,16
7,102,16
7,103,16
7,104,45.6
7,105,16.8
7,106,10
7,107,11
7,108,11
7,109,24.6
7,110,11
7,111,11
7,112,11
7,113,16
7,114,22.6
7,115,18
8,0,17
8,1,2
8,2,2
8,3,21
8,4,19
8,5,3.9
8,6,19
8,7,11
8,8,3.9
8,9,21
8,10,5.1
8,11,3.9
8,12,6.5
8,13,5.1
8,14,5
8,15,19
8,16,7
8,17,21
8,18,2
8,19,19
8,20,18.4
8,21,19
8,22,5.1
8,23,5.1
8,24,21
8,25,3.9
8,26,16.1
8,27,19
8,28,19
8,29,5.1
8,30,3.9
8,31,3.9
8,32,21
8,33,3.9
8,34,3.9
8,35,3.9
8,36,5.1
8,37,3.9
8,38,21
8,39,3.9
8,40,21
8,41,3.9
8,42,3.9
8,43,13.7
8,44,3.9
8,45,21
8,46,21
8,47,3.9
8,48,21
8,49,3.9
8,50,21
8,51,21
8,52,23.4
8,53,5.1
8,54,21
8,55,5.1
8,56,21
8,57,5.1
8,58,19
8,59,19
8,60,3.9
8,61,2
8,62,21
8,63,18.4
8,64,5.1
8,65,5.1
8,66,31
8,67,11
8,68,16
8,69,3.9
8,70,3.9
8,71,3.9
8,72,23.4
8,73,19
8,74,3.9
8,75,19
8,76,2
8,77,19
8,78,16.1
8,79,3.9
8,80,21
8,81,5.1
8,82,5.1
8,83,19
8,84,7
8,85,2
8,86,3.9
8,87,21
8,88,16
8,89,3.9
8,90,5.1
8,91,5.1
8,92,21
8,93,3.9
8,94,5.1
8,95,3.9
8,96,5.1
8,97,3.9
8,98,5.1
8,99,5
8,100,5.1
8,101,5.1
8,102,5.1
8,103,5.1
8,104,42.5
8,105,16
8,106,17
8,107,3.9
8,108,3.9
8,109,19
8,110,3.9
8,111,3.9
8,112,3.9
8,113,5.1
8,114,21
8,115,17
9,0,11
9,1,22.2
9,2,22.2
9,3,6.1
9,4,2.1
9,5,21
9,6,2.1
9,7,22.6
9,8,21
9,9,6.1
9,10,25.6
9,11,21
9,12,13
9,13,25.6
9,14,24.6
9,15,2.1
9,16,16.5
9,17,6.1
9,18,22.2
9,19,2.1
9,20,8.9
9,21,2.1
9,22,25.6
9,23,25.6
9,24,6.1
9,25,21
9,26,14.3
9,27,2.1
9,28,2.1
9,29,25.6
9,30,21
9,31,21
9,32,6.1
9,33,21
9,34,21
9,35,21
9,36,25.6
9,37,21
9,38,6.1
9,39,21
9,40,6.1
9,41,21
9,42,21
9,43,22
9,44,21
9,45,6.1
9,46,6.1
9,47,21
9,48,6.1
9,49,21
9,50,6.1
9,51,6.1
9,52,20.3
9,53,25.6
9,54,6.1
9,55,25.6
9,56,6.1
9,57,25.6
9,58,2.1
9,59,2.1
9,60,21
9,61,22.2
9,62,6.1
9,63,8.9
9,64,25.6
9,65,25.6
9,66,13.6
9,67,22.6
9,68,14.4
9,69,21
9,70,21
9,71,21
9,72,20.3
9,73,2.1
9,74,21
9,75,2.1
9,76,22.2
9,77,2.1
9,78,14.3
9,79,21
9,80,6.1
9,81,25.6
9,82,25.6
9,83,2.1
9,84,16.5
9,85,22.2
9,86,21
9,87,6.1
9,88,14.4
9,89,21
9,90,25.6
9,91,25.6
9,92,6.1
9,93,21
9,94,25.6
9,95,21
9,96,25.6
9,97,21
9,98,25.6
9,99,24.6
9,100,25.6
9,101,25.6
9,102,25.6
9,103,25.6
9,104,40.1
9,105,14.4
9,106,23.6
9,107,21
9,108,21
9,109,2.1
9,110,21
9,111,21
9,112,21
9,113,25.6
9,114,6.1
9,115,11
10,0,18
10,1,4.6
10,2,4.6
10,3,25.6
10,4,25
10,5,5.1
10,6,25
10,7,16
10,8,5.1
10,9,25.6
10,10,0.2
10,11,5.1
10,12,9.8
10,13,0.2
10,14,4
10,15,25
10,16,10.3
10,17,25.6
10,18,4.6
10,19,25
10,20,24.9
10,21,25
10,22,0.2
10,23,0.2
10,24,25.6
10,25,5.1
10,26,30.5
10,27,25
10,28,25
10,29,0.2
10,30,5.1
10,31,5.1
10,32,25.6
10,33,5.1
10,34,5.1
10,35,5.1
10,36,0.2
10,37,5.1
10,38,25.6
10,39,5.1
10,40,25.6
10,41,5.1
10,42,5.1
10,43,4.7
10,44,5.1
10,45,25.6
10,46,25.6
10,47,5.1
10,48,25.6
10,49,5.1
10,50,25.6
10,51,25.6
10,52,31
10,53,0.2
10,54,25.6
10,55,0.2
10,56,25.6
10,57,0.2
10,58,25
10,59,25
10,60,5.1
10,61,4.6
10,62,25.6
10,63,24.9
10,64,0.2
10,65,0.2
10,66,35
10,67,16
10,68,29.4
10,69,5.1
10,70,5.1
10,71,5.1
10,72,31
10,73,25
10,74,5.1
10,75,25
10,76,4.6
10,77,25
10,78,30.5
10,79,5.1
10,80,25.6
10,81,0.2
10,82,0.2
10,83,25
10,84,10.3
10,85,4.6
10,86,5.1
10,87,25.6
10,88,29.4
10,89,5.1
10,90,0.2
10,91,0.2
10,92,25.6
10,93,5.1
10,94,0.2
10,95,5.1
10,96,0.2
10,97,5.1
10,98,0.2
10,99,4
10,100,0.2
10,101,0.2
10,102,0.2
10,103,0.2
10,104,46
10,105,29.4
10,106,24.3
10,107,5.1
10,108,5.1
10,109,25
10,110,5.1
10,111,5.1
10,112,5.1
10,113,0.2
10,114,25.6
10,115,18
11,0,17
11,1,2
11,2,2
11,3,21
11,4,19
11,5,3.9
11,6,19
11,7,11
11,8,3.9
11,9,21
11,10,5.1
11,11,3.9
11,12,6.5
11,13,5.1
11,14,5
11,15,19
11,16,7
11,17,21
11,18,2
11,19,19
11,20,18.4
11,21,19
11,22,5.1
11,23,5.1
11,24,21
11,25,3.9
11,26,16.1
11,27,19
11,28,19
11,29,5.1
11,30,3.9
11,31,3.9
11,32,21
11,33,3.9
11,34,3.9
11,35,3.9
11,36,5.1
11,37,3.9
11,38,21
11,39,3.9
11,40,21
11,41,3.9
11,42,3.9
11,43,13.7
11,44,3.9
11,45,21
11,46,21
11,47,3.9
11,48,21
11,49,3.9
11,50,21
11,51,21
11,52,23.4
11,53,5.1
11,54,21
11,55,5.1
11,56,21
11,57,5.1
11,58,19
11,59,19
11,60,3.9
11,61,2
11,62,21
11,63,18.4
11,64,5.1
11,65,5.1
11,66,31
11,67,11
11,68,16
11,69,3.9
11,70,3.9
11,71,3.9
11,72,23.4
11,73,19
11,74,3.9
11,75,19
11,76,2
11,77,19
11,78,16.1
11,79,3.9
11,80,21
11,81,5.1
11,82,5.1
11,83,19
11,84,7
11,85,2
11,86,3.9
11,87,21
11,88,16
11,89,3.9
11,90,5.1
11,91,5.1
11,92,21
11,93,3.9
11,94,5.1
11,95,3.9
11,96,5.1
11,97,3.9
11,98,5.1
11,99,5
11,100,5.1
11,101,5.1
11,102,5.1
11,103,5.1
11,104,42.5
11,105,16
11,106,17
11,107,3.9
11,108,3.9
11,109,19
11,110,3.9
11,111,3.9
11,112,3.9
11,113,5.1
11,114,21
11,115,17
12,0,14
12,1,6.7
12,2,6.7
12,3,13
12,4,13.1
12,5,6.5
12,6,13.1
12,7,12.6
12,8,6.5
12,9,13
12,10,9.8
12,11,6.5
12,12,0
12,13,9.8
12,14,14
12,15,13.1
12,16,0.1
12,17,13
12,18,6.7
12,19,13.1
12,20,15
12,21,13.1
12,22,9.8
12,23,9.8
12,24,13
12,25,6.5
12,26,16
12,27,13.1
12,28,13.1
12,29,9.8
12,30,6.5
12,31,6.5
12,32,13
12,33,6.5
12,34,6.5
12,35,6.5
12,36,9.8
12,37,6.5
12,38,13
12,39,6.5
12,40,13
12,41,6.5
12,42,6.5
12,43,12
12,44,6.5
12,45,13
12,46,13
12,47,6.5
12,48,13
12,49,6.5
12,50,13
12,51,13
12,52,20
12,53,9.8
12,54,13
12,55,9.8
12,56,13
12,57,9.8
12,58,13.1
12,59,13.1
12,60,6.5
12,61,6.7
12,62,13
12,63,15
12,64,9.8
12,65,9.8
12,66,22
12,67,12.6
12,68,16
12,69,6.5
12,70,6.5
12,71,6.5
12,72,20
12,73,13.1
12,74,6.5
12,75,13.1
12,76,6.7
12,77,13.1
12,78,16
12,79,6.5
12,80,13
12,81,9.8
12,82,9.8
12,83,13.1
12,84,0.1
12,85,6.7
12,86,6.5
12,87,13
12,88,16
12,89,6.5
12,90,9.8
12,91,9.8
12,92,13
12,93,6.5
12,94,9.8
12,95,6.5
12,96,9.8
12,97,6.5
12,98,9.8
12,99,14
12,100,9.8
12,101,9.8
12,102,9.8
12,103,9.8
12,104,36
12,105,16
12,106,14
12,107,6.5
12,108,6.5
12,109,13.1
12,110,6.5
12,111,6.5
12,112,6.5
12,113,9.8
12,114,13
12,115,14
13,0,18
13,1,4.6
13,2,4.6
13,3,25.6
13,4,25
13,5,5.1
13,6,25
13,7,16
13,8,5.1
13,9,25.6
13,10,0.2
13,11,5.1
13,12,9.8
13,13,0.2
13,14,4
13,15,25
13,16,10.3
13,17,25.6
13,18,4.6
13,19,25
13,20,24.9
13,21,25
13,22,0.2
13,23,0.2
13,24,25.6
13,25,5.1
13,26,30.5
13,27,25
13,28,25
13,29,0.2
13,30,5.1
13,31,5.1
13,32,25.6
13,33,5.1
13,34,5.1
13,35,5.1
13,36,0.2
13,37,5.1
13,38,25.6
13,39,5.1
13,40,25.6
13,41,5.1
13,42,5.1
13,43,4.7
13,44,5.1
13,45,25.6
13,46,25.6
13,47,5.1
13,48,25.6
13,49,5.1
13,50,25.6
13,51,25.6
13,52,31
13,53,0.2
13,54,25.6
13,55,0.2
13,56,25.6
13,57,0.2
13,58,25
13,59,25
13,60,5.1
13,61,4.6
13,62,25.6
13,63,24.9
13,64,0.2
13,65,0.2
13,66,35
13,67,16
13,68,29.4
13,69,5.1
13,70,5.1
13,71,5.1
13,72,31
13,73,25
13,74,5.1
13,75,25
13,76,4.6
13,77,25
13,78,30.5
13,79,5.1
13,80,25.6
13,81,0.2
13,82,0.2
13,83,25
13,84,10.3
13,85,4.6
13,86,5.1
13,87,25.6
13,88,29.4
13,89,5.1
13,90,0.2
13,91,0.2
13,92,25.6
13,93,5.1
13,94,0.2
13,95,5.1
13,96,0.2
13,97,5.1
13,98,0.2
13,99,4
13,100,0.2
13,101,0.2
13,102,0.2
13,103,0.2
13,104,46
13,105,29.4
13,106,24.3
13,107,5.1
13,108,5.1
13,109,25
13,110,5.1
13,111,5.1
13,112,5.1
13,113,0.2
13,114,25.6
13,115,18
14,0,20
14,1,4
14,2,4
14,3,24.6
14,4,23
14,5,5
14,6,23
14,7,20
14,8,5
14,9,24.6
14,10,4
14,11,5
14,12,14
14,13,4
14,14,0
14,15,23
14,16,14
14,17,24.6
14,18,4
14,19,23
14,20,7.9
14,21,23
14,22,4
14,23,4
14,24,24.6
14,25,5
14,26,27
14,27,23
14,28,23
14,29,4
14,30,5
14,31,5
14,32,24.6
14,33,5
14,34,5
14,35,5
14,36,4
14,37,5
14,38,24.6
14,39,5
14,40,24.6
14,41,5
14,42,5
14,43,3.5
14,44,5
14,45,24.6
14,46,24.6
14,47,5
14,48,24.6
14,49,5
14,50,24.6
14,51,24.6
14,52,29.8
14,53,4
14,54,24.6
14,55,4
14,56,24.6
14,57,4
14,58,23
14,59,23
14,60,5
14,61,4
14,62,24.6
14,63,7.9
14,64,4
14,65,4
14,66,16.1
14,67,20
14,68,26.2
14,69,5
14,70,5
14,71,5
14,72,29.8
14,73,23
14,74,5
14,75,23
14,76,4
14,77,23
14,78,27
14,79,5
14,80,24.6
14,81,4
14,82,4
14,83,23
14,84,14
14,85,4
14,86,5
14,87,24.6
14,88,26.2
14,89,5
14,90,4
14,91,4
14,92,24.6
14,93,5
14,94,4
14,95,5
14,96,4
14,97,5
14,98,4
14,99,0
14,100,4
14,101,4
14,102,4
14,103,4
14,104,40
14,105,26.2
14,106,22.5
14,107,5
14,108,5
14,109,23
14,110,5
14,111,5
14,112,5
14,113,4
14,114,24.6
14,115,20
15,0,11
15,1,20.6
15,2,20.6
15,3,2.1
15,4,0.1
15,5,19
15,6,0.1
15,7,24.6
15,8,19
15,9,2.1
15,10,25
15,11,19
15,12,13.1
15,13,25
15,14,23
15,15,0.1
15,16,14
15,17,2.1
15,18,20.6
15,19,0.1
15,20,8.2
15,21,0.1
15,22,25
15,23,25
15,24,2.1
15,25,19
15,26,15
15,27,0.1
15,28,0.1
15,29,25
15,30,19
15,31,19
15,32,2.1
15,33,19
15,34,19
15,35,19
15,36,25
15,37,19
15,38,2.1
15,39,19
15,40,2.1
15,41,19
15,42,19
15,43,23.4
15,44,19
15,45,2.1
15,46,2.1
15,47,19
15,48,2.1
15,49,19
15,50,2.1
15,51,2.1
15,52,21.6
15,53,25
15,54,2.1
15,55,25
15,56,2.1
15,57,25
15,58,0.1
15,59,0.1
15,60,19
15,61,20.6
15,62,2.1
15,63,8.2
15,64,25
15,65,25
15,66,13
15,67,24.6
15,68,23
15,69,19
15,70,19
15,71,19
15,72,21.6
15,73,0.1
15,74,19
15,75,0.1
15,76,20.6
15,77,0.1
15,78,15
15,79,19
15,80,2.1
15,81,25
15,82,25
15,83,0.1
15,84,14
15,85,20.6
15,86,19
15,87,2.1
15,88,23
15,89,19
15,90,25
15,91,25
15,92,2.1
15,93,19
15,94,25
15,95,19
15,96,25
