i,j,Median
17,15,2.1
17,16,16.5
17,17,6.1
17,18,22.2
17,19,2.1
17,20,8.9
17,21,2.1
17,22,25.6
17,23,25.6
17,24,6.1
17,25,21
17,26,14.3
17,27,2.1
17,28,2.1
17,29,25.6
17,30,21
17,31,21
17,32,6.1
17,33,21
17,34,21
17,35,21
17,36,25.6
17,37,21
17,38,6.1
17,39,21
17,40,6.1
17,41,21
17,42,21
17,43,22
17,44,21
17,45,6.1
17,46,6.1
17,47,21
17,48,6.1
17,49,21
17,50,6.1
17,51,6.1
17,52,20.3
17,53,25.6
17,54,6.1
17,55,25.6
17,56,6.1
17,57,25.6
17,58,2.1
17,59,2.1
17,60,21
17,61,22.2
17,62,6.1
17,63,8.9
17,64,25.6
17,65,25.6
17,66,13.6
17,67,22.6
17,68,14.4
17,69,21
17,70,21
17,71,21
17,72,20.3
17,73,2.1
17,74,21
17,75,2.1
17,76,22.2
17,77,2.1
17,78,14.3
17,79,21
17,80,6.1
17,81,25.6
17,82,25.6
17,83,2.1
17,84,16.5
17,85,22.2
17,86,21
17,87,6.1
17,88,14.4
17,89,21
17,90,25.6
17,91,25.6
17,92,6.1
17,93,21
17,94,25.6
17,95,21
17,96,25.6
17,97,21
17,98,25.6
17,99,24.6
17,100,25.6
17,101,25.6
17,102,25.6
17,103,25.6
17,104,40.1
17,105,14.4
17,106,23.6
17,107,21
17,108,21
17,109,2.1
17,110,21
17,111,21
17,112,21
17,113,25.6
17,114,6.1
17,115,11
18,0,20
18,1,0
18,2,0
18,3,22.2
18,4,20.6
18,5,2
18,6,20.6
18,7,10.2
18,8,2
18,9,22.2
18,10,4.6
18,11,2
18,12,6.7
18,13,4.6
18,14,4
18,15,20.6
18,16,7
18,17,22.2
18,18,0
18,19,20.6
18,20,19
18,21,20.6
18,22,4.6
18,23,4.6
18,24,22.2
18,25,2
18,26,29.2
18,27,20.6
18,28,20.6
18,29,4.6
18,30,2
18,31,2
18,32,22.2
18,33,2
18,34,2
18,35,2
18,36,4.6
18,37,2
18,38,22.2
18,39,2
18,40,22.2
18,41,2
18,42,2
18,43,14
18,44,2
18,45,22.2
18,46,22.2
18,47,2
18,48,22.2
18,49,2
18,50,22.2
18,51,22.2
18,52,25.4
18,53,4.6
18,54,22.2
18,55,4.6
18,56,22.2
18,57,4.6
18,58,20.6
18,59,20.6
18,60,2
18,61,0
18,62,22.2
18,63,19
18,64,4.6
18,65,4.6
18,66,30.3
18,67,10.2
18,68,19.4
18,69,2
18,70,2
18,71,2
18,72,25.4
18,73,20.6
18,74,2
18,75,20.6
18,76,0
18,77,20.6
18,78,29.2
18,79,2
18,80,22.2
18,81,4.6
18,82,4.6
18,83,20.6
18,84,7
18,85,0
18,86,2
18,87,22.2
18,88,19.4
18,89,2
18,90,4.6
18,91,4.6
18,92,22.2
18,93,2
18,94,4.6
18,95,2
18,96,4.6
18,97,2
18,98,4.6
18,99,4
18,100,4.6
18,101,4.6
18,102,4.6
18,103,4.6
18,104,40.5
18,105,19.4
18,106,18
18,107,2
18,108,2
18,109,20.6
18,110,2
18,111,2
18,112,2
18,113,4.6
18,114,22.2
18,115,20
19,0,11
19,1,20.6
19,2,20.6
19,3,2.1
19,4,0.1
19,5,19
19,6,0.1
19,7,24.6
19,8,19
19,9,2.1
19,10,25
19,11,19
19,12,13.1
19,13,25
19,14,23
19,15,0.1
19,16,14
19,17,2.1
19,18,20.6
19,19,0.1
19,20,8.2
19,21,0.1
19,22,25
19,23,25
19,24,2.1
19,25,19
19,26,15
19,27,0.1
19,28,0.1
19,29,25
19,30,19
19,31,19
19,32,2.1
19,33,19
19,34,19
19,35,19
19,36,25
19,37,19
19,38,2.1
19,39,19
19,40,2.1
19,41,19
19,42,19
19,43,23.4
19,44,19
19,45,2.1
19,46,2.1
19,47,19
19,48,2.1
19,49,19
19,50,2.1
19,51,2.1
19,52,21.6
19,53,25
19,54,2.1
19,55,25
19,56,2.1
19,57,25
19,58,0.1
19,59,0.1
19,60,19
19,61,20.6
19,62,2.1
19,63,8.2
19,64,25
19,65,25
19,66,13
19,67,24.6
19,68,23
19,69,19
19,70,19
19,71,19
19,72,21.6
19,73,0.1
19,74,19
19,75,0.1
19,76,20.6
19,77,0.1
19,78,15
19,79,19
19,80,2.1
19,81,25
19,82,25
19,83,0.1
19,84,14
19,85,20.6
19,86,19
19,87,2.1
19,88,23
19,89,19
19,90,25
19,91,25
19,92,2.1
19,93,19
19,94,25
19,95,19
19,96,25
19,97,19
19,98,25
19,99,23
19,100,25
19,101,25
19,102,25
19,103,25
19,104,38.2
19,105,23
19,106,24
19,107,19
19,108,19
19,109,0.1
19,110,19
19,111,19
19,112,19
19,113,25
19,114,2.1
19,115,11
20,0,11
20,1,19
20,2,19
20,3,8.9
20,4,8.2
20,5,18.4
20,6,8.2
20,7,21
20,8,18.4
20,9,8.9
20,10,24.9
20,11,18.4
20,12,15
20,13,24.9
20,14,7.9
20,15,8.2
20,16,15
20,17,8.9
20,18,19
20,19,8.2
20,20,0
20,21,8.2
20,22,24.9
20,23,24.9
20,24,8.9
20,25,18.4
20,26,10
20,27,8.2
20,28,8.2
20,29,24.9
20,30,18.4
20,31,18.4
20,32,8.9
20,33,18.4
20,34,18.4
20,35,18.4
20,36,24.9
20,37,18.4
20,38,8.9
20,39,18.4
20,40,8.9
20,41,18.4
20,42,18.4
20,43,20.6
20,44,18.4
20,45,8.9
20,46,8.9
20,47,18.4
20,48,8.9
20,49,18.4
20,50,8.9
20,51,8.9
20,52,17
20,53,24.9
20,54,8.9
20,55,24.9
20,56,8.9
20,57,24.9
20,58,8.2
20,59,8.2
20,60,18.4
20,61,19
20,62,8.9
20,63,0
20,64,24.9
20,65,24.9
20,66,19
20,67,21
20,68,9
20,69,18.4
20,70,18.4
20,71,18.4
20,72,17
20,73,8.2
20,74,18.4
20,75,8.2
20,76,19
20,77,8.2
20,78,10
20,79,18.4
20,80,8.9
20,81,24.9
20,82,24.9
20,83,8.2
20,84,15
20,85,19
20,86,18.4
20,87,8.9
20,88,9
20,89,18.4
20,90,24.9
20,91,24.9
20,92,8.9
20,93,18.4
20,94,24.9
20,95,18.4
20,96,24.9
20,97,18.4
20,98,24.9
20,99,7.9
20,100,24.9
20,101,24.9
20,102,24.9
20,103,24.9
20,104,33
20,105,9
20,106,22.3
20,107,18.4
20,108,18.4
20,109,8.2
20,110,18.4
20,111,18.4
20,112,18.4
20,113,24.9
20,114,8.9
20,115,11
21,0,11
21,1,20.6
21,2,20.6
21,3,2.1
21,4,0.1
21,5,19
21,6,0.1
21,7,24.6
21,8,19
21,9,2.1
21,10,25
21,11,19
21,12,13.1
21,13,25
21,14,23
21,15,0.1
21,16,14
21,17,2.1
21,18,20.6
21,19,0.1
21,20,8.2
21,21,0.1
21,22,25
21,23,25
21,24,2.1
21,25,19
21,26,15
21,27,0.1
21,28,0.1
21,29,25
21,30,19
21,31,19
21,32,2.1
21,33,19
21,34,19
21,35,19
21,36,25
21,37,19
21,38,2.1
21,39,19
21,40,2.1
21,41,19
21,42,19
21,43,23.4
21,44,19
21,45,2.1
21,46,2.1
21,47,19
21,48,2.1
21,49,19
21,50,2.1
21,51,2.1
21,52,21.6
21,53,25
21,54,2.1
21,55,25
21,56,2.1
21,57,25
21,58,0.1
21,59,0.1
21,60,19
21,61,20.6
21,62,2.1
21,63,8.2
21,64,25
21,65,25
21,66,13
21,67,24.6
21,68,23
21,69,19
21,70,19
21,71,19
21,72,21.6
21,73,0.1
21,74,19
21,75,0.1
21,76,20.6
21,77,0.1
21,78,15
21,79,19
21,80,2.1
21,81,25
21,82,25
21,83,0.1
21,84,14
21,85,20.6
21,86,19
21,87,2.1
21,88,23
21,89,19
21,90,25
21,91,25
21,92,2.1
21,93,19
21,94,25
21,95,19
21,96,25
21,97,19
21,98,25
21,99,23
21,100,25
21,101,25
21,102,25
21,103,25
21,104,38.2
21,105,23
21,106,24
21,107,19
21,108,19
21,109,0.1
21,110,19
21,111,19
21,112,19
21,113,25
21,114,2.1
21,115,11
22,0,18
22,1,4.6
22,2,4.6
22,3,25.6
22,4,25
22,5,5.1
22,6,25
22,7,16
22,8,5.1
22,9,25.6
22,10,0.2
22,11,5.1
22,12,9.8
22,13,0.2
22,14,4
22,15,25
22,16,10.3
22,17,25.6
22,18,4.6
22,19,25
22,20,24.9
22,21,25
22,22,0.2
22,23,0.2
22,24,25.6
22,25,5.1
22,26,30.5
22,27,25
22,28,25
22,29,0.2
22,30,5.1
22,31,5.1
22,32,25.6
22,33,5.1
22,34,5.1
22,35,5.1
22,36,0.2
22,37,5.1
22,38,25.6
22,39,5.1
22,40,25.6
22,41,5.1
22,42,5.1
22,43,4.7
22,44,5.1
22,45,25.6
22,46,25.6
22,47,5.1
22,48,25.6
22,49,5.1
22,50,25.6
22,51,25.6
22,52,31
22,53,0.2
22,54,25.6
22,55,0.2
22,56,25.6
22,57,0.2
22,58,25
22,59,25
22,60,5.1
22,61,4.6
22,62,25.6
22,63,24.9
22,64,0.2
22,65,0.2
22,66,35
22,67,16
22,68,29.4
22,69,5.1
22,70,5.1
22,71,5.1
22,72,31
22,73,25
22,74,5.1
22,75,25
22,76,4.6
22,77,25
22,78,30.5
22,79,5.1
22,80,25.6
22,81,0.2
22,82,0.2
22,83,25
22,84,10.3
22,85,4.6
22,86,5.1
22,87,25.6
22,88,29.4
22,89,5.1
22,90,0.2
22,91,0.2
22,92,25.6
22,93,5.1
22,94,0.2
22,95,5.1
22,96,0.2
22,97,5.1
22,98,0.2
22,99,4
22,100,0.2
22,101,0.2
22,102,0.2
22,103,0.2
22,104,46
22,105,29.4
22,106,24.3
22,107,5.1
22,108,5.1
22,109,25
22,110,5.1
22,111,5.1
22,112,5.1
22,113,0.2
22,114,25.6
22,115,18
23,0,18
23,1,4.6
23,2,4.6
23,3,25.6
23,4,25
23,5,5.1
23,6,25
23,7,16
23,8,5.1
23,9,25.6
23,10,0.2
23,11,5.1
23,12,9.8
23,13,0.2
23,14,4
23,15,25
23,16,10.3
23,17,25.6
23,18,4.6
23,19,25
23,20,24.9
23,21,25
23,22,0.2
23,23,0.2
23,24,25.6
23,25,5.1
23,26,30.5
23,27,25
23,28,25
23,29,0.2
23,30,5.1
23,31,5.1
23,32,25.6
23,33,5.1
23,34,5.1
23,35,5.1
23,36,0.2
23,37,5.1
23,38,25.6
23,39,5.1
23,40,25.6
23,41,5.1
23,42,5.1
23,43,4.7
23,44,5.1
23,45,25.6
23,46,25.6
23,47,5.1
23,48,25.6
23,49,5.1
23,50,25.6
23,51,25.6
23,52,31
23,53,0.2
23,54,25.6
23,55,0.2
23,56,25.6
23,57,0.2
23,58,25
23,59,25
23,60,5.1
23,61,4.6
23,62,25.6
23,63,24.9
23,64,0.2
23,65,0.2
23,66,35
23,67,16
23,68,29.4
23,69,5.1
23,70,5.1
23,71,5.1
23,72,31
23,73,25
23,74,5.1
23,75,25
23,76,4.6
23,77,25
23,78,30.5
23,79,5.1
23,80,25.6
23,81,0.2
23,82,0.2
23,83,25
23,84,10.3
23,85,4.6
23,86,5.1
23,87,25.6
23,88,29.4
23,89,5.1
23,90,0.2
23,91,0.2
23,92,25.6
23,93,5.1
23,94,0.2
23,95,5.1
23,96,0.2
23,97,5.1
23,98,0.2
23,99,4
23,100,0.2
23,101,0.2
23,102,0.2
23,103,0.2
23,104,46
23,105,29.4
23,106,24.3
23,107,5.1
23,108,5.1
23,109,25
23,110,5.1
23,111,5.1
23,112,5.1
23,113,0.2
23,114,25.6
23,115,18
24,0,11
24,1,22.2
24,2,22.2
24,3,6.1
24,4,2.1
24,5,21
24,6,2.1
24,7,22.6
24,8,21
24,9,6.1
24,10,25.6
24,11,21
24,12,13
24,13,25.6
24,14,24.6
24,15,2.1
24,16,16.5
24,17,6.1
24,18,22.2
24,19,2.1
24,20,8.9
24,21,2.1
24,22,25.6
24,23,25.6
24,24,6.1
24,25,21
24,26,14.3
24,27,2.1
24,28,2.1
24,29,25.6
24,30,21
24,31,21
24,32,6.1
24,33,21
24,34,21
24,35,21
24,36,25.6
24,37,21
24,38,6.1
24,39,21
24,40,6.1
24,41,21
24,42,21
24,43,22
24,44,21
24,45,6.1
24,46,6.1
24,47,21
24,48,6.1
24,49,21
24,50,6.1
24,51,6.1
24,52,20.3
24,53,25.6
24,54,6.1
24,55,25.6
24,56,6.1
24,57,25.6
24,58,2.1
24,59,2.1
24,60,21
24,61,22.2
24,62,6.1
24,63,8.9
24,64,25.6
24,65,25.6
24,66,13.6
24,67,22.6
24,68,14.4
24,69,21
24,70,21
24,71,21
24,72,20.3
24,73,2.1
24,74,21
24,75,2.1
24,76,22.2
24,77,2.1
24,78,14.3
24,79,21
24,80,6.1
24,81,25.6
24,82,25.6
24,83,2.1
24,84,16.5
24,85,22.2
24,86,21
24,87,6.1
24,88,14.4
24,89,21
24,90,25.6
24,91,25.6
24,92,6.1
24,93,21
24,94,25.6
24,95,21
24,96,25.6
24,97,21
24,98,25.6
24,99,24.6
24,100,25.6
24,101,25.6
24,102,25.6
24,103,25.6
24,104,40.1
24,105,14.4
24,106,23.6
24,107,21
24,108,21
24,109,2.1
24,110,21
24,111,21
24,112,21
24,113,25.6
24,114,6.1
24,115,11
25,0,17
25,1,2
25,2,2
25,3,21
25,4,19
25,5,3.9
25,6,19
25,7,11
25,8,3.9
25,9,21
25,10,5.1
25,11,3.9
25,12,6.5
25,13,5.1
25,14,5
25,15,19
25,16,7
25,17,21
25,18,2
25,19,19
25,20,18.4
25,21,19
25,22,5.1
25,23,5.1
25,24,21
25,25,3.9
25,26,16.1
25,27,19
25,28,19
25,29,5.1
25,30,3.9
25,31,3.9
25,32,21
25,33,3.9
25,34,3.9
25,35,3.9
25,36,5.1
25,37,3.9
25,38,21
25,39,3.9
25,40,21
25,41,3.9
25,42,3.9
25,43,13.7
25,44,3.9
25,45,21
25,46,21
25,47,3.9
25,48,21
25,49,3.9
25,50,21
25,51,21
25,52,23.4
25,53,5.1
25,54,21
25,55,5.1
25,56,21
25,57,5.1
25,58,19
25,59,19
25,60,3.9
25,61,2
25,62,21
25,63,18.4
25,64,5.1
25,65,5.1
25,66,31
25,67,11
25,68,16
25,69,3.9
25,70,3.9
25,71,3.9
25,72,23.4
25,73,19
25,74,3.9
25,75,19
25,76,2
25,77,19
25,78,16.1
25,79,3.9
25,80,21
25,81,5.1
25,82,5.1
25,83,19
25,84,7
25,85,2
25,86,3.9
25,87,21
25,88,16
25,89,3.9
25,90,5.1
25,91,5.1
25,92,21
25,93,3.9
25,94,5.1
25,95,3.9
25,96,5.1
25,97,3.9
25,98,5.1
25,99,5
25,100,5.1
25,101,5.1
25,102,5.1
25,103,5.1
25,104,42.5
25,105,16
25,106,17
25,107,3.9
25,108,3.9
25,109,19
25,110,3.9
25,111,3.9
25,112,3.9
25,113,5.1
25,114,21
25,115,17
26,0,5
26,1,29.2
26,2,29.2
26,3,14.3
26,4,15
26,5,16.1
26,6,15
26,7,18
26,8,16.1
26,9,14.3
26,10,30.5
26,11,16.1
26,12,16
26,13,30.5
26,14,27
26,15,15
26,16,22
26,17,14.3
26,18,29.2
26,19,15
26,20,10
26,21,15
26,22,30.5
26,23,30.5
26,24,14.3
26,25,16.1
26,26,0
26,27,15
26,28,15
26,29,30.5
26,30,16.1
26,31,16.1
26,32,14.3
26,33,16.1
26,34,16.1
26,35,16.1
26,36,30.5
26,37,16.1
26,38,14.3
26,39,16.1
26,40,14.3
26,41,16.1
26,42,16.1
26,43,12
26,44,16.1
26,45,14.3
26,46,14.3
26,47,16.1
26,48,14.3
26,49,16.1
26,50,14.3
26,51,14.3
26,52,16
26,53,30.5
26,54,14.3
26,55,30.5
26,56,14.3
26,57,30.5
26,58,15
26,59,15
26,60,16.1
26,61,29.2
26,62,14.3
26,63,10
26,64,30.5
26,65,30.5
26,66,21
26,67,18
26,68,10
26,69,16.1
26,70,16.1
26,71,16.1
26,72,16
26,73,15
26,74,16.1
26,75,15
26,76,29.2
26,77,15
26,78,0
26,79,16.1
26,80,14.3
26,81,30.5
26,82,30.5
26,83,15
26,84,22
26,85,29.2
26,86,16.1
26,87,14.3
26,88,10
26,89,16.1
26,90,30.5
26,91,30.5
26,92,14.3
26,93,16.1
26,94,30.5
26,95,16.1
26,96,30.5
26,97,16.1
26,98,30.5
26,99,27
26,100,30.5
26,101,30.5
26,102,30.5
26,103,30.5
26,104,29
26,105,10
26,106,24
26,107,16.1
26,108,16.1
26,109,15
26,110,16.1
26,111,16.1
26,112,16.1
26,113,30.5
26,114,14.3
26,115,5
27,0,11
27,1,20.6
27,2,20.6
27,3,2.1
27,4,0.1
27,5,19
27,6,0.1
27,7,24.6
27,8,19
27,9,2.1
27,10,25
27,11,19
27,12,13.1
27,13,25
27,14,23
27,15,0.1
27,16,14
27,17,2.1
27,18,20.6
27,19,0.1
27,20,8.2
27,21,0.1
27,22,25
27,23,25
27,24,2.1
27,25,19
27,26,15
27,27,0.1
27,28,0.1
27,29,25
27,30,19
27,31,19
27,32,2.1
27,33,19
27,34,19
27,35,19
27,36,25
27,37,19
27,38,2.1
27,39,19
27,40,2.1
27,41,19
27,42,19
27,43,23.4
27,44,19
27,45,2.1
27,46,2.1
27,47,19
27,48,2.1
27,49,19
27,50,2.1
27,51,2.1
27,52,21.6
27,53,25
27,54,2.1
27,55,25
27,56,2.1
27,57,25
27,58,0.1
27,59,0.1
27,60,19
27,61,20.6
27,62,2.1
27,63,8.2
27,64,25
27,65,25
27,66,13
27,67,24.6
27,68,23
27,69,19
27,70,19
27,71,19
27,72,21.6
27,73,0.1
27,74,19
27,75,0.1
27,76,20.6
27,77,0.1
27,78,15
27,79,19
27,80,2.1
27,81,25
27,82,25
27,83,0.1
27,84,14
27,85,20.6
27,86,19
27,87,2.1
27,88,23
27,89,19
27,90,25
27,91,25
27,92,2.1
27,93,19
27,94,25
27,95,19
27,96,25
27,97,19
27,98,25
27,99,23
27,100,25
27,101,25
27,102,25
27,103,25
27,104,38.2
27,105,23
27,106,24
27,107,19
27,108,19
27,109,0.1
27,110,19
27,111,19
27,112,19
27,113,25
27,114,2.1
27,115,11
28,0,11
28,1,20.6
28,2,20.6
28,3,2.1
28,4,0.1
28,5,19
28,6,0.1
28,7,24.6
28,8,19
28,9,2.1
28,10,25
28,11,19
28,12,13.1
28,13,25
28,14,23
28,15,0.1
28,16,14
28,17,2.1
28,18,20.6
28,19,0.1
28,20,8.2
28,21,0.1
28,22,25
28,23,25
28,24,2.1
28,25,19
28,26,15
28,27,0.1
28,28,0.1
28,29,25
28,30,19
28,31,19
28,32,2.1
28,33,19
28,34,19
28,35,19
28,36,25
28,37,19
28,38,2.1
28,39,19
28,40,2.1
28,41,19
28,42,19
28,43,23.4
28,44,19
28,45,2.1
28,46,2.1
28,47,19
28,48,2.1
28,49,19
28,50,2.1
28,51,2.1
28,52,21.6
28,53,25
28,54,2.1
28,55,25
28,56,2.1
28,57,25
28,58,0.1
28,59,0.1
28,60,19
28,61,20.6
28,62,2.1
28,63,8.2
28,64,25
28,65,25
28,66,13
28,67,24.6
28,68,23
28,69,19
28,70,19
28,71,19
28,72,21.6
28,73,0.1
28,74,19
28,75,0.1
28,76,20.6
28,77,0.1
28,78,15
28,79,19
28,80,2.1
28,81,25
28,82,25
28,83,0.1
28,84,14
28,85,20.6
28,86,19
28,87,2.1
28,88,23
28,89,19
28,90,25
28,91,25
28,92,2.1
28,93,19
28,94,25
28,95,19
28,96,25
28,97,19
28,98,25
28,99,23
28,100,25
28,101,25
28,102,25
28,103,25
28,104,38.2
28,105,23
28,106,24
28,107,19
28,108,19
28,109,0.1
28,110,19
28,111,19
28,112,19
28,113,25
28,114,2.1
28,115,11
29,0,18
29,1,4.6
29,2,4.6
29,3,25.6
29,4,25
29,5,5.1
29,6,25
29,7,16
29,8,5.1
29,9,25.6
29,10,0.2
29,11,5.1
29,12,9.8
29,13,0.2
29,14,4
29,15,25
29,16,10.3
29,17,25.6
29,18,4.6
29,19,25
29,20,24.9
29,21,25
29,22,0.2
29,23,0.2
29,24,25.6
29,25,5.1
29,26,30.5
29,27,25
29,28,25
29,29,0.2
29,30,5.1
29,31,5.1
29,32,25.6
29,33,5.1
29,34,5.1
29,35,5.1
29,36,0.2
29,37,5.1
29,38,25.6
29,39,5.1
29,40,25.6
29,41,5.1
29,42,5.1
29,43,4.7
29,44,5.1
29,45,25.6
29,46,25.6
29,47,5.1
29,48,25.6
29,49,5.1
29,50,25.6
29,51,25.6
29,52,31
29,53,0.2
29,54,25.6
29,55,0.2
29,56,25.6
29,57,0.2
29,58,25
29,59,25
29,60,5.1
29,61,4.6
29,62,25.6
29,63,24.9
29,64,0.2
29,65,0.2
29,66,35
29,67,16
29,68,29.4
29,69,5.1
29,70,5.1
29,71,5.1
29,72,31
29,73,25
29,74,5.1
29,75,25
29,76,4.6
29,77,25
29,78,30.5
29,79,5.1
29,80,25.6
29,81,0.2
29,82,0.2
29,83,25
29,84,10.3
29,85,4.6
29,86,5.1
29,87,25.6
29,88,29.4
29,89,5.1
29,90,0.2
29,91,0.2
29,92,25.6
29,93,5.1
29,94,0.2
29,95,5.1
29,96,0.2
29,97,5.1
29,98,0.2
29,99,4
29,100,0.2
29,101,0.2
29,102,0.2
29,103,0.2
29,104,46
29,105,29.4
29,106,24.3
29,107,5.1
29,108,5.1
29,109,25
29,110,5.1
29,111,5.1
29,112,5.1
29,113,0.2
29,114,25.6
29,115,18
30,0,17
30,1,2
30,2,2
30,3,21
30,4,19
30,5,3.9
30,6,19
30,7,11
30,8,3.9
30,9,21
30,10,5.1
30,11,3.9
30,12,6.5
30,13,5.1
30,14,5
30,15,19
30,16,7
30,17,21
30,18,2
30,19,19
30,20,18.4
30,21,19
30,22,5.1
30,23,5.1
30,24,21
30,25,3.9
30,26,16.1
30,27,19
30,28,19
30,29,5.1
30,30,3.9
30,31,3.9
30,32,21
30,33,3.9
30,34,3.9
30,35,3.9
30,36,5.1
30,37,3.9
30,38,21
30,39,3.9
30,40,21
30,41,3.9
30,42,3.9
30,43,13.7
30,44,3.9
30,45,21
30,46,21
30,47,3.9
30,48,21
30,49,3.9
30,50,21
30,51,21
30,52,23.4
30,53,5.1
30,54,21
30,55,5.1
30,56,21
30,57,5.1
30,58,19
30,59,19
30,60,3.9
30,61,2
30,62,21
30,63,18.4
30,64,5.1
30,65,5.1
30,66,31
30,67,11
30,68,16
30,69,3.9
30,70,3.9
30,71,3.9
30,72,23.4
30,73,19
30,74,3.9
30,75,19
30,76,2
30,77,19
30,78,16.1
30,79,3.9
30,80,21
30,81,5.1
30,82,5.1
30,83,19
30,84,7
30,85,2
30,86,3.9
30,87,21
30,88,16
30,89,3.9
30,90,5.1
30,91,5.1
30,92,21
30,93,3.9
30,94,5.1
30,95,3.9
30,96,5.1
30,97,3.9
30,98,5.1
30,99,5
30,100,5.1
30,101,5.1
30,102,5.1
30,103,5.1
30,104,42.5
30,105,16
30,106,17
30,107,3.9
30,108,3.9
30,109,19
30,110,3.9
30,111,3.9
30,112,3.9
30,113,5.1
30,114,21
30,115,17
31,0,17
31,1,2
31,2,2
31,3,21
31,4,19
31,5,3.9
31,6,19
31,7,11
31,8,3.9
31,9,21
31,10,5.1
31,11,3.9
31,12,6.5
31,13,5.1
31,14,5
31,15,19
31,16,7
31,17,21
31,18,2
31,19,19
31,20,18.4
31,21,19
31,22,5.1
31,23,5.1
31,24,21
31,25,3.9
31,26,16.1
31,27,19
31,28,19
31,29,5.1
31,30,3.9
31,31,3.9
31,32,21
31,33,3.9
31,34,3.9
31,35,3.9
31,36,5.1
31,37,3.9
31,38,21
31,39,3.9
31,40,21
31,41,3.9
31,42,3.9
31,43,13.7
31,44,3.9
31,45,21
31,46,21
31,47,3.9
31,48,21
31,49,3.9
31,50,21
31,51,21
31,52,23.4
31,53,5.1
31,54,21
31,55,5.1
31,56,21
31,57,5.1
31,58,19
31,59,19
31,60,3.9
31,61,2
31,62,21
31,63,18.4
31,64,5.1
31,65,5.1
31,66,31
31,67,11
31,68,16
31,69,3.9
31,70,3.9
31,71,3.9
31,72,23.4
31,73,19
31,74,3.9
31,75,19
31,76,2
31,77,19
31,78,16.1
31,79,3.9
31,80,21
31,81,5.1
31,82,5.1
31,83,19
31,84,7
31,85,2
31,86,3.9
31,87,21
31,88,16
31,89,3.9
31,90,5.1
31,91,5.1
31,92,21
31,93,3.9
31,94,5.1
31,95,3.9
31,96,5.1
31,97,3.9
31,98,5.1
31,99,5
31,100,5.1
31,101,5.1
31,102,5.1
31,103,5.1
31,104,42.5
31,105,16
31,106,17
31,107,3.9
31,108,3.9
31,109,19
31,110,3.9
31,111,3.9
31,112,3.9
31,113,5.1
31,114,21
31,115,17
32,0,11
32,1,22.2
32,2,22.2
32,3,6.1
32,4,2.1
32,5,21
32,6,2.1
32,7,22.6
32,8,21
32,9,6.1
32,10,25.6
32,11,21
32,12,13
32,13,25.6
32,14,24.6
32,15,2.1
32,16,16.5
32,17,6.1
32,18,22.2
32,19,2.1
32,20,8.9
32,21,2.1
32,22,25.6
32,23,25.6
32,24,6.1
32,25,21
32,26,14.3
32,27,2.1
32,28,2.1
32,29,25.6
32,30,21
32,31,21
32,32,6.1
32,33,21
32,34,21
32,35,21
32,36,25.6
32,37,21
32,38,6.1
32,39,21
32,40,6.1
32,41,21
32,42,21
32,43,22
32,44,21
32,45,6.1
32,46,6.1
32,47,21
32,48,6.1
32,49,21
32,50,6.1
32,51,6.1
32,52,20.3
32,53,25.6
32,54,6.1
32,55,25.6
32,56,6.1
32,57,25.6
32,58,2.1
32,59,2.1
32,60,21
32,61,22.2
32,62,6.1
32,63,8.9
32,64,25.6
32,65,25.6
32,66,13.6
32,67,22.6
32,68,14.4
32,69,21
32,70,21
32,71,21
32,72,20.3
32,73,2.1
32,74,21
32,75,2.1
32,76,22.2
32,77,2.1
32,78,14.3
32,79,21
32,80,6.1
32,81,25.6
32,82,25.6
32,83,2.1
32,84,16.5
32,85,22.2
32,86,21
32,87,6.1
32,88,14.4
32,89,21
32,90,25.6
32,91,25.6
32,92,6.1
32,93,21
32,94,25.6
32,95,21
32,96,25.6
32,97,21
32,98,25.6
32,99,24.6
32,100,25.6
32,101,25.6
32,102,25.6
32,103,25.6
32,104,40.1
32,105,14.4
32,106,23.6
32,107,21
32,108,21
32,109,2.1
32,110,21
32,111,21
32,112,21
32,113,25.6
32,114,6.1
32,115,11
33,0,17
33,1,2
33,2,2
33,3,21
33,4,19
33,5,3.9
33,6,19
33,7,11
33,8,3.9
33,9,21
33,10,5.1
33,11,3.9
33,12,6.5
33,13,5.1
33,14,5
33,15,19
33,16,7
33,17,21
33,18,2
33,19,19
33,20,18.4
33,21,19
33,22,5.1
33,23,5.1
33,24,21
33,25,3.9
33,26,16.1
33,27,19
33,28,19
33,29,5.1
33,30,3.9
33,31,3.9
33,32,21
33,33,3.9
33,34,3.9
33,35,3.9
33,36,5.1
33,37,3.9
33,38,21
33,39,3.9
33,40,21
33,41,3.9
33,42,3.9
33,43,13.7
33,44,3.9
33,45,21
33,46,21
33,47,3.9
33,48,21
33,49,3.9
33,50,21
33,51,21
33,52,23.4
33,53,5.1
33,54,21
33,55,5.1
33,56,21
33,57,5.1
33,58,19
33,59,19
33,60,3.9
33,61,2
33,62,21
33,63,18.4
33,64,5.1
33,65,5.1
33,66,31
33,67,11
33,68,16
33,69,3.9
33,70,3.9
33,71,3.9
33,72,23.4
33,73,19
33,74,3.9
33,75,19
33,76,2
33,77,19
33,78,16.1
33,79,3.9
33,80,21
33,81,5.1
33,82,5.1
33,83,19
33,84,7
33,85,2
33,86,3.9
33,87,21
33,88,16
33,89,3.9
33,90,5.1
33,91,5.1
33,92,21
33,93,3.9
33,94,5.1
33,95,3.9
33,96,5.1
